[2026-05-12 20:43:18] OK | register_client(1001234567)
[2026-05-13 01:27:01] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:27:01] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:27:01] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:27:01] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:27:01] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:27:01] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:27:01] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:27:01] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:27:01] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:27:18] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:27:18] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:27:18] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:27:18] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:27:18] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:27:18] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:28:46] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:28:46] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:28:46] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:28:47] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:28:47] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:28:47] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:31:12] OK | authenticate_admin(admin)
[2026-05-13 01:31:12] OK | get_draws_balance
[2026-05-13 01:31:12] OK | list_draws
[2026-05-13 01:33:41] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:33:41] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:33:41] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:33:41] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:33:41] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:33:41] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:33:41] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:33:41] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:33:41] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:33:41] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:33:41] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:33:41] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:36:46] OK | authenticate_admin(admin)
[2026-05-13 01:36:46] OK | get_draws_balance
[2026-05-13 01:36:46] OK | list_draws
[2026-05-13 01:36:46] OK | get_draws_balance
[2026-05-13 01:36:46] OK | list_draws
[2026-05-13 01:37:33] OK | list_draws
[2026-05-13 01:38:27] OK | list_clients
[2026-05-13 01:38:27] OK | get_client_balance(client_771C3E81)
[2026-05-13 01:38:27] OK | get_client_balance(client_9F386DB9)
[2026-05-13 01:38:27] OK | get_client_balance(client_AE4B07D1)
[2026-05-13 01:38:27] OK | get_client_balance(client_96815E1F)
[2026-05-13 01:38:27] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:39:26] OK | get_draws_balance
[2026-05-13 01:39:26] OK | get_delivered_prizes
[2026-05-13 01:42:11] ERROR | authenticate_client(admin1001234567) | razón: client_not_found
[2026-05-13 01:43:05] OK | authenticate_client(1001234567)
[2026-05-13 01:43:05] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:43:05] OK | list_draws
[2026-05-13 01:43:05] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:43:05] OK | list_draws
[2026-05-13 01:43:36] OK | list_draws
[2026-05-13 01:44:05] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:44:05] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:44:05] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:45:17] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:45:17] OK | list_draws
[2026-05-13 01:47:18] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:47:18] OK | list_draws
[2026-05-13 01:47:21] OK | list_draws
[2026-05-13 01:47:23] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:47:23] OK | list_draws
[2026-05-13 01:47:29] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:47:29] OK | list_draws
[2026-05-13 01:47:29] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:47:29] OK | list_draws
[2026-05-13 01:47:34] OK | get_client_draws(client_02883A2E)
[2026-05-13 01:47:34] OK | get_client_prizes(client_02883A2E)
[2026-05-13 01:47:34] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:47:34] OK | list_draws
[2026-05-13 01:47:35] OK | get_client_balance(client_02883A2E)
[2026-05-13 01:47:35] OK | list_draws
[2026-05-16 22:33:14] OK | authenticate_admin(admin)
[2026-05-16 22:33:14] OK | get_draws_balance
[2026-05-16 22:33:14] OK | list_draws
[2026-05-16 22:33:14] OK | get_draws_balance
[2026-05-16 22:33:14] OK | list_draws
[2026-05-16 22:33:19] OK | list_draws
[2026-05-16 22:33:23] ERROR | run_draw(sorteo_pasado) | razón: draw_not_found
[2026-05-16 22:33:28] ERROR | get_draw_clients(sorteo_pasado) | razón: draw_not_found
[2026-05-16 22:33:31] ERROR | get_draw_clients(sorteo_pasado) | razón: draw_not_found
[2026-05-16 22:33:31] ERROR | get_draw_clients(sorteo_pasado) | razón: draw_not_found
[2026-05-16 22:33:33] ERROR | delete_draw(sorteo_pasado) | razón: draw_not_found
[2026-05-16 22:33:37] OK | list_draws
[2026-05-16 22:33:38] OK | list_clients
[2026-05-16 22:33:38] OK | get_client_balance(client_771C3E81)
[2026-05-16 22:33:38] OK | get_client_balance(client_9F386DB9)
[2026-05-16 22:33:38] OK | get_client_balance(client_AE4B07D1)
[2026-05-16 22:33:38] OK | get_client_balance(client_96815E1F)
[2026-05-16 22:33:38] OK | get_client_balance(client_02883A2E)
[2026-05-16 22:33:41] OK | get_draws_balance
[2026-05-16 22:33:41] OK | get_delivered_prizes
[2026-05-16 22:40:05] OK | get_draws_balance
[2026-05-16 22:40:05] OK | get_delivered_prizes
[2026-05-16 22:40:05] OK | get_draws_balance
[2026-05-16 22:40:05] OK | get_delivered_prizes
[2026-05-16 22:40:17] OK | get_draws_balance
[2026-05-16 22:40:17] OK | get_delivered_prizes
[2026-05-16 22:40:17] OK | get_draws_balance
[2026-05-16 22:40:17] OK | get_delivered_prizes
[2026-05-16 22:42:31] OK | get_draws_balance
[2026-05-16 22:42:31] OK | get_delivered_prizes
[2026-05-16 22:42:31] OK | get_draws_balance
[2026-05-16 22:42:31] OK | get_delivered_prizes
[2026-05-16 22:43:04] OK | get_draws_balance
[2026-05-16 22:43:04] OK | get_delivered_prizes
[2026-05-16 22:43:04] OK | get_draws_balance
[2026-05-16 22:43:04] OK | get_delivered_prizes
[2026-05-16 22:43:23] OK | get_draws_balance
[2026-05-16 22:43:23] OK | get_delivered_prizes
[2026-05-16 22:43:23] OK | get_draws_balance
[2026-05-16 22:43:23] OK | get_delivered_prizes
[2026-05-16 22:43:42] OK | get_draws_balance
[2026-05-16 22:43:42] OK | get_delivered_prizes
[2026-05-16 22:43:42] OK | get_draws_balance
[2026-05-16 22:43:42] OK | get_delivered_prizes
[2026-05-16 22:44:29] OK | get_draws_balance
[2026-05-16 22:44:29] OK | get_delivered_prizes
[2026-05-16 22:45:04] OK | authenticate_admin(admin)
[2026-05-16 22:45:04] OK | get_draws_balance
[2026-05-16 22:45:04] OK | list_draws
[2026-05-16 22:45:04] OK | get_draws_balance
[2026-05-16 22:45:04] OK | list_draws
[2026-05-16 22:45:12] OK | list_clients
[2026-05-16 22:45:12] OK | get_client_balance(client_771C3E81)
[2026-05-16 22:45:12] OK | get_client_balance(client_9F386DB9)
[2026-05-16 22:45:12] OK | get_client_balance(client_AE4B07D1)
[2026-05-16 22:45:12] OK | get_client_balance(client_96815E1F)
[2026-05-16 22:45:12] OK | get_client_balance(client_02883A2E)
[2026-05-16 22:45:14] OK | list_draws
[2026-05-16 22:45:17] ERROR | run_draw(sorteo_pasado) | razón: no_tickets_sold
[2026-05-16 22:45:32] OK | list_draws
[2026-05-16 22:45:32] OK | get_draws_balance
[2026-05-16 22:45:32] OK | list_draws
[2026-05-16 22:45:33] OK | list_clients
[2026-05-16 22:45:33] OK | get_client_balance(client_771C3E81)
[2026-05-16 22:45:33] OK | get_client_balance(client_9F386DB9)
[2026-05-16 22:45:33] OK | get_client_balance(client_AE4B07D1)
[2026-05-16 22:45:33] OK | get_client_balance(client_96815E1F)
[2026-05-16 22:45:33] OK | get_client_balance(client_02883A2E)
[2026-05-16 22:45:34] OK | get_draws_balance
[2026-05-16 22:45:34] OK | get_delivered_prizes
[2026-05-16 23:52:12] OK | authenticate_admin(admin)
[2026-05-16 23:52:12] OK | get_draws_balance
[2026-05-16 23:52:12] OK | list_draws
[2026-05-16 23:52:13] OK | get_draws_balance
[2026-05-16 23:52:13] OK | list_draws
[2026-05-16 23:52:16] OK | get_draws_balance
[2026-05-16 23:52:16] OK | list_draws
[2026-05-16 23:52:19] OK | get_draws_balance
[2026-05-16 23:52:19] OK | list_draws
[2026-05-16 23:52:19] OK | get_draws_balance
[2026-05-16 23:52:19] OK | list_draws
[2026-05-16 23:52:35] OK | get_draws_balance
[2026-05-16 23:52:35] OK | list_draws
[2026-05-16 23:52:35] OK | get_draws_balance
[2026-05-16 23:52:35] OK | list_draws
[2026-05-16 23:52:41] OK | get_draws_balance
[2026-05-16 23:52:41] OK | list_draws
[2026-05-16 23:52:41] OK | get_draws_balance
[2026-05-16 23:52:41] OK | list_draws
[2026-05-16 23:52:53] OK | get_draws_balance
[2026-05-16 23:52:53] OK | list_draws
[2026-05-16 23:52:53] OK | get_draws_balance
[2026-05-16 23:52:53] OK | list_draws
[2026-05-16 23:53:07] OK | get_draws_balance
[2026-05-16 23:53:07] OK | list_draws
[2026-05-16 23:53:07] OK | get_draws_balance
[2026-05-16 23:53:07] OK | list_draws
[2026-05-16 23:53:08] OK | get_draws_balance
[2026-05-16 23:53:08] OK | list_draws
[2026-05-16 23:53:08] OK | get_draws_balance
[2026-05-16 23:53:08] OK | list_draws
[2026-05-16 23:53:08] OK | get_draws_balance
[2026-05-16 23:53:08] OK | list_draws
[2026-05-16 23:53:20] OK | get_draws_balance
[2026-05-16 23:53:20] OK | list_draws
[2026-05-16 23:53:20] OK | get_draws_balance
[2026-05-16 23:53:20] OK | list_draws
[2026-05-16 23:53:20] OK | get_draws_balance
[2026-05-16 23:53:20] OK | list_draws
[2026-05-16 23:53:23] OK | get_draws_balance
[2026-05-16 23:53:23] OK | list_draws
[2026-05-16 23:53:23] OK | get_draws_balance
[2026-05-16 23:53:23] OK | list_draws
[2026-05-16 23:53:24] OK | get_draws_balance
[2026-05-16 23:53:24] OK | list_draws
[2026-05-16 23:53:24] OK | get_draws_balance
[2026-05-16 23:53:24] OK | list_draws
[2026-05-16 23:53:28] OK | list_draws
